track_id,popularity,duration_ms,explicit,danceability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,liveness,valence,mode,key,time_signature
2hRNxkgCScd5yxbTsrGQR4,48,282333,False,0.544,0.596,-10.325,80.96,0.059,0.226,1.17e-05,0.989,0.794,0,1,4
5HnS5kHBcUEleSVO0IooQD,49,231000,False,0.494,0.442,-8.764,89.506,0.106,0.437,0.00049,0.111,0.4,1,9,5
0VljLybFVhAQbc5qBDHawU,0,134137,True,0.888,0.566,-5.136,142.974,0.403,0.13,0.0,0.121,0.488,1,2,4
48u8UBBgyKStzEJcDRM5UK,0,164608,True,0.884,0.665,-5.601,140.997,0.414,0.0986,0.0,0.0865,0.462,1,8,4
14IzkK3IZfcIMWnriKclKo,49,207040,False,0.54,0.71,-9.179,134.719,0.0325,0.0856,0.00426,0.0578,0.403,0,8,4
2ScU6iEvgb0TIuKiyem9rg,48,151666,False,0.345,0.976,-4.74,181.121,0.0487,0.000587,0.0507,0.487,0.818,1,8,4
4r2I7ioBFYcUezMRnPVlYx,49,335974,False,0.702,0.675,-5.352,83.515,0.351,0.363,0.0,0.359,0.626,0,10,4
2agBuyTLCHxi0VvsBlueRw,1,134137,True,0.888,0.566,-5.136,142.974,0.403,0.13,0.0,0.121,0.488,1,2,4
3bu9zBjvsZ1A14tbN6tseM,0,134137,True,0.888,0.566,-5.136,142.974,0.403,0.13,0.0,0.121,0.488,1,2,4
5uDxxT5hBxtOj7qTR0WCoB,49,234666,False,0.691,0.749,-4.486,129.623,0.0378,0.176,0.0,0.518,0.48,1,2,4
1jdAzKbRRrIQ3fpodftKfj,48,141400,False,0.574,0.89,-5.789,97.9,0.041,0.082,0.0,0.0741,0.83,0,6,4
0ganZjtkMwkoRvYQk7te7h,48,142131,False,0.768,0.52,-7.375,140.109,0.0994,0.0912,1.26e-06,0.435,0.776,0,0,4
6JMRXqVpDD1Xu2lAoFOVbS,48,207197,False,0.483,0.896,-5.206,128.21,0.0887,0.186,0.00019,0.965,0.392,1,7,4
6Q4RJGUzVQym5RL5iq6627,49,154431,False,0.687,0.675,-7.093,149.996,0.0578,0.337,6.64e-06,0.357,0.682,1,7,4
0VlvuqnBF8VRqT4iV1HekA,49,347213,False,0.899,0.538,-9.458,88.268,0.466,0.0264,0.0,0.101,0.864,1,7,4
6iGnVMtuISrHb0SQyGe3YA,49,174262,False,0.852,0.621,-3.843,115.374,0.0483,0.126,1.43e-05,0.038,0.896,0,5,4
0F6ajDDUlAepkLFIyBLS0W,50,234453,False,0.6,0.389,-7.982,150.309,0.0327,0.564,0.0,0.0846,0.811,1,0,4
2hHIB7iJW9Pj7sDNqZ2S3g,49,195000,False,0.697,0.501,-9.477,113.66,0.0817,0.677,0.000621,0.0529,0.792,0,3,4
3w9rbjxB0vGRaEZH0G2qCo,49,315493,False,0.892,0.519,-7.568,84.14,0.348,0.162,0.0,0.0938,0.653,1,9,4
4N8rEj0nz6oVhyv3aggHfP,49,182106,False,0.78,0.937,-4.108,137.156,0.147,0.0319,0.0,0.102,0.935,1,9,4
41jxXLrYhNsogBNYKHWLih,49,180398,False,0.776,0.407,-8.282,122.889,0.0649,0.644,0.0,0.148,0.749,1,4,4
4OIRWMwEHR6oCU7g1QgK0n,0,359706,False,0.669,0.81,-6.854,111.58,0.0341,0.408,8.58e-06,0.0614,0.966,1,2,4
2Pn03PIZpWIt34wML20qst,0,136480,False,0.331,0.942,-3.968,180.372,0.141,0.00228,0.00524,0.0974,0.143,1,9,4
63Slke1vlnpTejDeluhyQ9,0,194120,False,0.383,0.984,-3.573,164.959,0.103,0.000246,0.287,0.24,0.304,1,8,4
02IzKHWkGVtNMdPoOAxHb3,0,194120,False,0.383,0.984,-3.573,164.959,0.103,0.000246,0.287,0.24,0.304,1,8,4
1PsqGUXy4eFdOKOmafn2ea,0,294960,False,0.409,0.198,-10.832,132.782,0.0293,0.751,0.000712,0.082,0.14,1,9,4
1tnZipedfyuRJlxkW8o5za,0,254293,False,0.646,0.934,-6.955,142.616,0.0531,0.129,1.03e-05,0.0443,0.698,1,9,4
6LRi5d43sx0SSwXvbdABKU,0,223346,False,0.626,0.723,-1.882,144.003,0.028,0.629,8.01e-06,0.0546,0.562,1,10,4
6vXQ12lw0BOY8ZAwT80wJy,0,294960,False,0.409,0.198,-10.832,132.782,0.0293,0.751,0.000712,0.082,0.14,1,9,4
4qiiHAveTEHWvtxwGSPJaY,50,234320,False,0.728,0.418,-6.852,145.171,0.0336,0.384,0.0,0.0931,0.883,1,5,3
4qEJ335QcS2azvUJPgHG7S,0,294960,False,0.409,0.198,-10.832,132.782,0.0293,0.751,0.000712,0.082,0.14,1,9,4
41tMIgwIR0Ye3ivO6GMr5q,0,294960,False,0.409,0.198,-10.832,132.782,0.0293,0.751,0.000712,0.082,0.14,1,9,4
6rmTI4qrd6b2iJddcCJy3A,0,294960,False,0.409,0.198,-10.832,132.782,0.0293,0.751,0.000712,0.082,0.14,1,9,4
6ozLwDnOkZBN1yir033PyG,50,143880,False,0.799,0.736,-7.189,106.539,0.0582,0.283,0.000347,0.0265,0.975,1,8,3
1d9KF847JVwN14mR4zBe8l,48,290733,False,0.589,0.432,-14.089,124.084,0.0361,0.00919,0.195,0.0949,0.605,0,10,4
1modDYKBVY7mi6wo3vd6P4,50,158241,False,0.731,0.328,-7.947,103.228,0.069,0.816,0.0,0.085,0.929,1,0,4
6IuN5rqcAeHmzK5d5r0RWL,67,119233,True,0.831,0.724,-3.157,145.055,0.203,0.0229,1.23e-06,0.0436,0.9,1,2,4
2DcRv49cdbnHGGWFIuHBkI,48,272277,False,0.616,0.714,-3.965,176.192,0.311,0.243,0.0,0.316,0.695,0,7,4
3YNuIpKlMbdi47VdQmOEq2,48,224156,False,0.52,0.571,-8.423,96.081,0.0333,0.692,2.01e-06,0.17,0.399,0,5,4
1hB4340DP1nnBmfWn37uTN,48,526026,True,0.624,0.589,-6.669,76.847,0.281,0.302,0.0,0.124,0.78,1,2,4
2TwM6FmWDMSBDdKYOsWKdy,47,156293,False,0.549,0.686,-10.313,172.601,0.136,0.291,0.0,0.201,0.926,1,7,4
4IM0eSvgcbFwuwMx0iYOUu,0,198826,False,0.471,0.557,-9.696,127.164,0.0277,0.413,7.61e-06,0.267,0.26,1,10,4
7sC2sL3Q5cZswDQJfnlfOt,47,203093,False,0.215,0.945,-7.201,179.079,0.0798,0.000639,0.453,0.204,0.603,0,10,4
0snqXhYtZExuEtkdehmzhe,0,198826,False,0.471,0.557,-9.696,127.164,0.0277,0.413,7.61e-06,0.267,0.26,1,10,4
7dZq3hxakgytMDpxK0QNhR,48,190960,False,0.513,0.89,-5.253,122.698,0.0728,0.0319,0.00108,0.687,0.73,0,5,4
3QoydK0LFOpK0JnfIpCffR,47,128106,False,0.511,0.981,-5.329,172.968,0.0579,0.0301,0.0612,0.747,0.896,0,0,4
2NV0oNAYgjlN27SeNIo8bL,47,306961,False,0.581,0.857,-5.89,140.885,0.127,0.374,0.0462,0.96,0.697,0,7,4
7MoPVyB6vUWwzGoo2EMGD4,0,198826,False,0.471,0.557,-9.696,127.164,0.0277,0.413,7.61e-06,0.267,0.26,1,10,4
596C0Jf31sDqGQSgs9Dcfq,0,198826,False,0.471,0.557,-9.696,127.164,0.0277,0.413,7.61e-06,0.267,0.26,1,10,4
